repo	source_url	classification	linked_papers	paper_dois	paper_titles	skill_names	description	reusable_files
BGI-Qingdao/ZebrafishHeartRegeneration_project	https://github.com/BGI-Qingdao/ZebrafishHeartRegeneration_project	paper_analysis_code_candidate	S0096	10.1038/s41467-025-59070-0	An organ-wide spatiotemporal transcriptomic and cellular atlas of the regenerating zebrafish heart.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs	All scripts for project: zebrafish heart regeneneration	01. scRNA clustering/01.sc_QC.r | 01. scRNA clustering/02.sc_regeneration.r | 01. scRNA clustering/03.sc_chamber.r | 02. Stereo-seq clustering/01.cluster.R | 03. 3D alignment and clustering/RCTD the other slices/01.getOther.py | 03. 3D alignment and clustering/RCTD the other slices/02.buildRef.R | 03. 3D alignment and clustering/RCTD the other slices/03.RCTD.R | 03. 3D alignment and clustering/scVI integration and seurat clustering/03.cluster_scVI.R | 04. RCTD analysis/02.RCTD.R | 06. RNA velocity analysis/03.velocity.py | 07. CellChat analysis/01.CellChat2_scRNA.R | 07. CellChat analysis/02.CellChat2_Stereoseq.R | 08. Gene imputation/3D data/A_Seurat_impute.R | 08. Gene imputation/3D data/BA_Seurat_impute.R | 08. Gene imputation/3D data/V_Seurat_impute.R | 08. Gene imputation/Regeneration data/01.Seurat_impute.R | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/A_RCTD/01.split.py | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/A_RCTD/A_RCTD.R | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/BA_RCTD/01.split.py | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/BA_RCTD/02.BA_RCTD.R
lcy1364/Cortex-Atlas-Code	https://github.com/lcy1364/Cortex-Atlas-Code	paper_analysis_code_candidate	S0097	10.1038/s41467-025-62793-9	Charting the spatial transcriptome of the human cerebral cortex at single-cell resolution.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Cortex-Atlas-Code	src/STEREO/1_cellbin/1_gemToH5ad.py | src/STEREO/1_cellbin/2_h5adToRDS.R | src/STEREO/1_cellbin/read_io.py | src/STEREO/2_Deconvolution_and_QC/1_Initial_deconvolution.R | src/STEREO/2_Deconvolution_and_QC/2_second_subclass_deconvolution.R | src/STEREO/2_Deconvolution_and_QC/3_RCTD_resumeMICROandOPC.R | src/STEREO/2_Deconvolution_and_QC/4_spatialCellMeta.R | src/STEREO/3_domainProcess/2_generatingData.R | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFC_stLearn.py | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFCs_SEDR.py | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFCs_SpaGCN.py | src/STEREO/3_domainProcess/DeepST-main/deepst/DeepST.py | src/STEREO/3_domainProcess/DeepST-main/deepst/_compat.py | src/STEREO/3_domainProcess/DeepST-main/deepst/adj.py | src/STEREO/3_domainProcess/DeepST-main/deepst/augment.py | src/STEREO/3_domainProcess/DeepST-main/deepst/his_feat.py | src/STEREO/3_domainProcess/DeepST-main/deepst/model.py | src/STEREO/3_domainProcess/DeepST-main/deepst/trainer.py | src/STEREO/3_domainProcess/DeepST-main/deepst/utils_func.py | src/STEREO/3_domainProcess/DeepST_run.py
y-bai/SpaSEG	https://github.com/y-bai/SpaSEG	paper_analysis_code_candidate	S0456	10.1186/s13059-025-03697-1	SpaSEG: unsupervised deep learning for multi-task analysis of spatially resolved transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	An unsupervised convolutional neural network-based model for multiple SRT analysis tasks, including spatial domain identification, multiple adjacent sections integration, SVG detection, and spatial CCI inference.	data_processing/scanpy_processing.py | downstream/cci/__init__.py | downstream/cci/cci.py | downstream/plotting/__init__.py | downstream/plotting/_heatmapplot.py | downstream/plotting/_svgplot.py | downstream/plotting/_utils.py | downstream/plotting/_venn.py | notebook/CCI/CCI_colocalization_IDC.ipynb | notebook/CCI/CCI_colocalization_MB.ipynb | notebook/CCI/IDC_LR_counts_heatmap.ipynb | notebook/CCI/IDC_dotplot_LR_celltype.ipynb | notebook/CCI/MB_cellChat.ipynb | notebook/CCI/Mouse_brain_bin200_LR_CT_corr_heatmap.ipynb | notebook/CCI/Mouse_brain_bin200_LR_counts_heatmap.ipynb | notebook/CCI/Mouse_brain_dotplot_LR_celltype.ipynb | notebook/CCI/cci_analysis_notebook.ipynb | notebook/MultiPlatform/Mouse_Brain_marker_gene.ipynb | notebook/MultiPlatform/cellbin_cluster.ipynb | notebook/MultiPlatform/merfish_celltype_annotation.ipynb
axelalmet/flowsig	https://github.com/axelalmet/flowsig	paper_analysis_code_candidate	S0392	10.1038/s41592-024-02380-w	Inferring pattern-driving intercellular flows from single-cell and spatial transcriptomics.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Python package to find communication-driven intercellular flows from single-cell RNA-sequencing and spatial transcriptomics data.	build/lib/flowsig/plotting/__init__.py | build/lib/flowsig/plotting/_plotting.py | build/lib/flowsig/preprocessing/_spatial_blocking.py | build/lib/flowsig/tools/_spatial.py | src/flowsig/plotting/__init__.py | src/flowsig/plotting/_plotting.py | src/flowsig/preprocessing/_spatial_blocking.py | src/flowsig/tools/_spatial.py | src/flowsig/tutorials/.ipynb_checkpoints/mouse_embryo_stereoseq_example-checkpoint.ipynb | src/flowsig/tutorials/.ipynb_checkpoints/mouse_embryo_stereoseq_example_script-checkpoint.py | src/flowsig/tutorials/mouse_embryo_stereoseq_example.ipynb | src/flowsig/tutorials/mouse_embryo_stereoseq_example_script.py
ReproductiveEndocrinologyMetabolism/Endo.R	https://github.com/ReproductiveEndocrinologyMetabolism/Endo.R	paper_analysis_code_candidate	S0113	10.1038/s41591-025-03592-z	Single-cell profiling of the human endometrium in polycystic ovary syndrome.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Author: Gustaw Eriksson	Spatial RNA-seq analysis/00.1_Stereopy_binning.py | Spatial RNA-seq analysis/00.2_Seurat_preprocessing.R | Spatial RNA-seq analysis/01_UMAP_Label_Transfer.R | Spatial RNA-seq analysis/02_Annotation_filtering.R | Spatial RNA-seq analysis/03_Subclustering.R | Spatial RNA-seq analysis/04.1_Marker_Visualisation_Full_Slide.R | Spatial RNA-seq analysis/04.2_Marker_Visualisation_Targeted_Region.R | Spatial RNA-seq analysis/Create_directory.sh | snRNA-sequencing analysis/02_Main_Clustering.R | snRNA-sequencing analysis/03_Main_Cluster_Labelling.R | snRNA-sequencing analysis/04_Subsetting_Main_Clusters.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Endothelial_Lymphatic.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Epithelium.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Immune.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Stroma.R | snRNA-sequencing analysis/07.1_GO_GSEA_analysis.R | snRNA-sequencing analysis/07.2_GO_GSEA_visualisation.R | snRNA-sequencing analysis/08.1_Generate_Average_Seurat.R | snRNA-sequencing analysis/08.2_Plot_Heatmaps_DEG_GO.R | snRNA-sequencing analysis/08.3_Plot_Violinplots.R
lskfs/ascidian-endostyle	https://github.com/lskfs/ascidian-endostyle	paper_analysis_code_candidate	S0149	10.1126/sciadv.adi9035	Spatially resolved single-cell atlas of ascidian endostyle provides insight into the origin of vertebrate pharyngeal organs.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Source code for ascidian endostyle manuscript	01.stereo-seq_cellseg/cellsegment.py | 01.stereo-seq_cellseg/centroid.py | 01.stereo-seq_cellseg/gem_mask.py | 01.stereo-seq_cellseg/mix_segmentation.py | 02.stereo-seq_clustering/Stereo_seurat.cellbin.R | 02.stereo-seq_clustering/seurat_integrate.R | 03.single_cell_clustering/integration.singlecell.SCT.R | 03.single_cell_clustering/single-cell-seurat-MT-211101.R | 07.RNA_velocity/dynamo_pipe.single.py | 07.RNA_velocity/pre-velocyto.py | 10.cross-species_comparison/sankeyPlot.R | 11.trajectory_projection/classify_trajectory_genes.py | 11.trajectory_projection/extract_TLC_exp.py | 11.trajectory_projection/monocle2.R | 11.trajectory_projection/region_divide_pt.py | 11.trajectory_projection/trajectory_mapping.py | 12.HLR_Blood_single_cell_trajectory/01.downsampling.sh | 12.HLR_Blood_single_cell_trajectory/01.seeksoultools.sh | 12.HLR_Blood_single_cell_trajectory/02.single-cell-seurat.R | 12.HLR_Blood_single_cell_trajectory/02.work-Seurat.sh
gyuanlab/ONTraC_paper	https://github.com/gyuanlab/ONTraC_paper	paper_analysis_code_candidate	S0451	10.1186/s13059-025-03588-5	ONTraC characterizes spatially continuous variations of tissue microenvironment through niche trajectory analysis.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon		MERFISH_motor_cortex_data/benchmark_using_public_methods/run_spatialPCA.R | MERFISH_motor_cortex_data/spatial_domain/GraphPCA_merfish_selected.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_1/R_Pseudotime_simulation.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_1/R_spatialpca.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_2/R_pseudotime.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_2/spatialPCA.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_3/R_pseudotime.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_3/spatialPCA.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_4/R_pseudotime.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_4/spatialPCA.ipynb | Stereo_seq_midbrain_data/post_analysis/MOSCOT/Moscot.ipynb | Stereo_seq_midbrain_data/post_analysis/MOSCOT/R_OT_analysis.ipynb | Stereo_seq_midbrain_data/post_analysis/Meta_cell/Meta_cell_based_gene_exp_along_trajectory.ipynb | Stereo_seq_midbrain_data/post_analysis/SCENIC/Python_SCENIC.ipynb | Stereo_seq_midbrain_data/post_analysis/cell_proximal_and_CCI/Python_cci_difference_represents.ipynb | Stereo_seq_midbrain_data/post_analysis/cell_proximal_and_CCI/R_cell_type_proximal.ipynb | Stereo_seq_midbrain_data/run_ONTraC/stereo_midbrain_base_analysis_lsf.sh | Stereo_seq_midbrain_data/run_ONTraC/stereo_midbrain_base_run_lsf.sh | Stereo_seq_midbrain_data/spatial_domain/GraphPCA_stereo.ipynb | Xenium_cancer_data/Supplementary_figure_11.R
deepomicslab/SPIDER	https://github.com/deepomicslab/SPIDER	paper_analysis_code_candidate	S0383	10.1038/s41467-025-62988-0	Finding spatially variable ligand-receptor interactions with functional support from downstream genes.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		spider/SpatialDE2/__init__.py | spider/SpatialDE2/_internal/__init__.py | spider/SpatialDE2/_internal/distance_cache.py | spider/SpatialDE2/_internal/gpflow_helpers.py | spider/SpatialDE2/_internal/kernels.py | spider/SpatialDE2/_internal/models.py | spider/SpatialDE2/_internal/optimizer.py | spider/SpatialDE2/_internal/score_test.py | spider/SpatialDE2/_internal/sm_kernel.py | spider/SpatialDE2/_internal/svca.py | spider/SpatialDE2/_internal/tf_dataset.py | spider/SpatialDE2/_internal/util.py | spider/SpatialDE2/_internal/util_mixture.py | spider/SpatialDE2/aeh.py | spider/SpatialDE2/de_test.py | spider/SpatialDE2/dp_hmrf.py | spider/SpatialDE2/gaussian_process.py | spider/SpatialDE2/io.py | spider/SpatialDE2/svca.py | spider/visualization.py
QuKunLab/SPACEL	https://github.com/QuKunLab/SPACEL	paper_analysis_code_candidate	S0371;S0449	10.1038/s41467-023-43220-3;10.1186/s13059-024-03361-0	SPACEL: deep learning-based characterization of spatial transcriptome architectures.; Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		SPACEL/Scube/alignment.py | SPACEL/Scube/plot.py | SPACEL/Scube/utils_3d.py | SPACEL/Spoint/spatial_simulation.py | docs/tutorials/Stereo-seq_Scube.ipynb
axelalmet/FlowSigAnalysis_2023	https://github.com/axelalmet/FlowSigAnalysis_2023	paper_analysis_code_candidate	S0392	10.1038/s41592-024-02380-w	Inferring pattern-driving intercellular flows from single-cell and spatial transcriptomics.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	"Python and R code used to produce the analysis in Almet et al. (2023), ""Inferring pattern-driving intercellular flows from single-cell and spatial transcriptomics"""	analysis/analyse_chen22_mouse_embryo_E9.5_spatial_stereoseq.py | benchmarking/run_multinichenet_kang18_pbmcs.R | communication_inference/analyse_communication_in_burkhardt21_pancreatic_islets.R | communication_inference/analyse_communication_in_cortical_organoid_D18_vs_D35.R | communication_inference/analyse_communication_in_kang18_pbmcs.R | communication_inference/analyse_communication_in_liao20_covid_balfs.R | communication_inference/analyse_spatial_communication_in_chen2022_mouse_embryo_E9.5.py | communication_inference/cpdb/run_cpdb_kang18_ctrl.py | communication_inference/cpdb/run_cpdb_kang18_stim.py | synthetic_validation/data_generation/generate_data_for_shh_bmp4_dorsoventral_grn.py | synthetic_validation/flowsig_analysis/analyse_shh_bmp4_dorsoventral_grn_flow_accuracies.py | synthetic_validation/flowsig_analysis/analyse_shh_neural_grn_network_flow_accuracies.py | synthetic_validation/model_simulation/generate_data_for_shh_neural_grn_on_network.py | synthetic_validation/model_simulation/simulate_shh_bmp4_dorsoventral_grn_on_network.py | synthetic_validation/model_simulation/simulate_shh_neural_grn_on_network.py
