repo	source_url	classification	score	linked_papers	paper_dois	paper_years	paper_titles	species	tissue	skill_names	raw_skill_tags	description	language	stars	license	reusable_files
BGI-Qingdao/ZebrafishHeartRegeneration_project	https://github.com/BGI-Qingdao/ZebrafishHeartRegeneration_project	paper_analysis_code_candidate	1803	S0096	10.1038/s41467-025-59070-0	2025	An organ-wide spatiotemporal transcriptomic and cellular atlas of the regenerating zebrafish heart.	zebrafish	heart	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs	3d_reconstruction:1;cell_cell_interaction:1;cell_type_mapping:3;developmental_trajectory:3;publication_plotting:4;spatial_communication:1;spatial_domain:4;spatial_grn_regulon:1;spatial_programs:2	All scripts for project: zebrafish heart regeneneration	Jupyter Notebook	3	GPL-3.0	01. scRNA clustering/01.sc_QC.r | 01. scRNA clustering/02.sc_regeneration.r | 01. scRNA clustering/03.sc_chamber.r | 02. Stereo-seq clustering/01.cluster.R | 03. 3D alignment and clustering/RCTD the other slices/01.getOther.py | 03. 3D alignment and clustering/RCTD the other slices/02.buildRef.R | 03. 3D alignment and clustering/RCTD the other slices/03.RCTD.R | 03. 3D alignment and clustering/scVI integration and seurat clustering/03.cluster_scVI.R | 04. RCTD analysis/02.RCTD.R | 06. RNA velocity analysis/03.velocity.py | 07. CellChat analysis/01.CellChat2_scRNA.R | 07. CellChat analysis/02.CellChat2_Stereoseq.R | 08. Gene imputation/3D data/A_Seurat_impute.R | 08. Gene imputation/3D data/BA_Seurat_impute.R | 08. Gene imputation/3D data/V_Seurat_impute.R | 08. Gene imputation/Regeneration data/01.Seurat_impute.R | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/A_RCTD/01.split.py | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/A_RCTD/A_RCTD.R | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/BA_RCTD/01.split.py | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/BA_RCTD/02.BA_RCTD.R
lcy1364/Cortex-Atlas-Code	https://github.com/lcy1364/Cortex-Atlas-Code	paper_analysis_code_candidate	1786	S0097	10.1038/s41467-025-62793-9	2025	Charting the spatial transcriptome of the human cerebral cortex at single-cell resolution.	human	cortex	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	cell_cell_interaction:1;cell_type_mapping:5;publication_plotting:8;quality_control_preprocessing:7;spatial_cell_type_interpretation:3;spatial_communication:1;spatial_domain:9;spatial_programs:7	Cortex-Atlas-Code	Jupyter Notebook	1		src/STEREO/1_cellbin/1_gemToH5ad.py | src/STEREO/1_cellbin/2_h5adToRDS.R | src/STEREO/1_cellbin/read_io.py | src/STEREO/2_Deconvolution_and_QC/1_Initial_deconvolution.R | src/STEREO/2_Deconvolution_and_QC/2_second_subclass_deconvolution.R | src/STEREO/2_Deconvolution_and_QC/3_RCTD_resumeMICROandOPC.R | src/STEREO/2_Deconvolution_and_QC/4_spatialCellMeta.R | src/STEREO/3_domainProcess/2_generatingData.R | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFC_stLearn.py | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFCs_SEDR.py | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFCs_SpaGCN.py | src/STEREO/3_domainProcess/DeepST-main/deepst/DeepST.py | src/STEREO/3_domainProcess/DeepST-main/deepst/_compat.py | src/STEREO/3_domainProcess/DeepST-main/deepst/adj.py | src/STEREO/3_domainProcess/DeepST-main/deepst/augment.py | src/STEREO/3_domainProcess/DeepST-main/deepst/his_feat.py | src/STEREO/3_domainProcess/DeepST-main/deepst/model.py | src/STEREO/3_domainProcess/DeepST-main/deepst/trainer.py | src/STEREO/3_domainProcess/DeepST-main/deepst/utils_func.py | src/STEREO/3_domainProcess/DeepST_run.py
STOmics/STCellbin	https://github.com/STOmics/STCellbin	paper_analysis_code_candidate	1734	S0185	10.46471/gigabyte.110	2024	Generating single-cell gene expression profiles for high-resolution spatial transcriptomics based on cell boundary images.			stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-cellbin-segmentation	3d_reconstruction:3;publication_plotting:1;quality_control_preprocessing:5;spatial_domain:1	Enhanced application on generating single-cell gene expression profile for high-resolution spatial transcriptomics.	Python	9	MIT	STCellbin.py | src/cellbin/__init__.py | src/cellbin/contrib/GMM_correct.py | src/cellbin/contrib/__init__.py | src/cellbin/contrib/alignment.py | src/cellbin/contrib/cell_mask.py | src/cellbin/contrib/fast_correct.py | src/cellbin/contrib/fov_aligner.py | src/cellbin/contrib/global_location.py | src/cellbin/contrib/line_detector.py | src/cellbin/contrib/roi_track.py | src/cellbin/contrib/template_match.py | src/cellbin/contrib/template_reference.py | src/cellbin/contrib/track_roi_picker.py | src/cellbin/contrib/vision_track.py | src/cellbin/dnn/__init__.py | src/cellbin/dnn/clarity/__init__.py | src/cellbin/dnn/clarity/evaler.py | src/cellbin/dnn/common.py | src/cellbin/dnn/cseg/__init__.py
gao-lab/SLAT	https://github.com/gao-lab/SLAT	paper_analysis_code_candidate	1612	S0086	10.1038/s41467-023-43105-5	2023	Spatial-linked alignment tool (SLAT) for aligning heterogenous slices.			stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-domain-discovery	3d_reconstruction:4;cell_type_mapping:3;developmental_trajectory:1;publication_plotting:3;spatial_domain:4	Spatial-Linked Alignment Tool	Python	92	MIT	benchmark/analysis/2d_vis_align.ipynb | benchmark/analysis/3d_analysis.ipynb | benchmark/analysis/plot_confusion_matrix.ipynb | benchmark/analysis/plot_keypoints.ipynb | benchmark/analysis/plot_slices.ipynb | benchmark/label_data/ploty_label.ipynb | benchmark/workflow/notebooks/run_Seurat.ipynb | case/mouse_development/Seurat.ipynb | case/mouse_development/Seurat_analysis.ipynb | case/spatial_cross_platform/SLAT.ipynb | case/spatial_cross_platform/other_methods/harmony.ipynb | case/spatial_cross_platform/other_methods/paste.ipynb | case/spatial_cross_platform/other_methods/seurat.ipynb | case/spatial_cross_platform/other_methods/stagate.ipynb | case/spatial_cross_platform/other_methods/suerat_analysis.ipynb | case/sptatial_multi-omics/1.1.ATAC_annotation.ipynb | case/sptatial_multi-omics/3.SLAT_alignment.ipynb | case/sptatial_multi-omics/other_methods/plot.ipynb | case/visium_xenium/Seurat.ipynb | case/visium_xenium/Seurat_analysis.ipynb
JEFworks-Lab/STalign	https://github.com/JEFworks-Lab/STalign	paper_analysis_code_candidate	1604	S0449	10.1186/s13059-024-03361-0	2024	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	3d_reconstruction:5;publication_plotting:9;quality_control_preprocessing:1;spatial_domain:10	Python tool for alignment of spatial transcriptomics (ST) data using diffeomorphic metric mapping	HTML	99	GPL-3.0	STalign/STalign.py | STalign/__init__.py | STalign/curve_annotator.py | STalign/point_annotator.py | docs/notebooks/heart-alignment-varying-thickness.ipynb | docs/notebooks/heart-alignment.ipynb | docs/notebooks/merfish-allen3Datlas-alignment.ipynb | docs/notebooks/merfish-merfish-alignment-affine-only-with-points.ipynb | docs/notebooks/merfish-merfish-alignment-affine-only.ipynb | docs/notebooks/merfish-merfish-alignment-simulation.ipynb | docs/notebooks/merfish-merfish-alignment-using-L-T.ipynb | docs/notebooks/merfish-merfish-alignment.ipynb | docs/notebooks/merfish-visium-alignment-with-curve-annotator.ipynb | docs/notebooks/merfish-visium-alignment-with-point-annotator.ipynb | docs/notebooks/merfish-visium-alignment.ipynb | docs/notebooks/merfish-xenium-alignment.ipynb | docs/notebooks/starmap-allen3Datlas-alignment.ipynb | docs/notebooks/visium-visium-alignment-affine-only.ipynb | docs/notebooks/xenium-heimage-alignment.ipynb | docs/notebooks/xenium-starmap-alignment.ipynb
y-bai/SpaSEG	https://github.com/y-bai/SpaSEG	paper_analysis_code_candidate	1575	S0456	10.1186/s13059-025-03697-1	2025	SpaSEG: unsupervised deep learning for multi-task analysis of spatially resolved transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	3d_reconstruction:2;cell_cell_interaction:3;cell_type_mapping:2;publication_plotting:5;quality_control_preprocessing:4;spatial_communication:3;spatial_domain:8;spatial_programs:3	An unsupervised convolutional neural network-based model for multiple SRT analysis tasks, including spatial domain identification, multiple adjacent sections integration, SVG detection, and spatial CCI inference.	Jupyter Notebook	10	MIT	data_processing/scanpy_processing.py | downstream/cci/__init__.py | downstream/cci/cci.py | downstream/plotting/__init__.py | downstream/plotting/_heatmapplot.py | downstream/plotting/_svgplot.py | downstream/plotting/_utils.py | downstream/plotting/_venn.py | notebook/CCI/CCI_colocalization_IDC.ipynb | notebook/CCI/CCI_colocalization_MB.ipynb | notebook/CCI/IDC_LR_counts_heatmap.ipynb | notebook/CCI/IDC_dotplot_LR_celltype.ipynb | notebook/CCI/MB_cellChat.ipynb | notebook/CCI/Mouse_brain_bin200_LR_CT_corr_heatmap.ipynb | notebook/CCI/Mouse_brain_bin200_LR_counts_heatmap.ipynb | notebook/CCI/Mouse_brain_dotplot_LR_celltype.ipynb | notebook/CCI/cci_analysis_notebook.ipynb | notebook/MultiPlatform/Mouse_Brain_marker_gene.ipynb | notebook/MultiPlatform/cellbin_cluster.ipynb | notebook/MultiPlatform/merfish_celltype_annotation.ipynb
PYangLab/SVGbench	https://github.com/PYangLab/SVGbench	paper_analysis_code_candidate	1556	S0448	10.1186/s13059-023-03145-y	2024	Evaluating spatially variable gene detection methods for spatial transcriptomics data.			stereo-seq-publication-plotting;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	publication_plotting:2;spatial_domain:1;spatial_programs:1	Evaluating spatially variable gene detection methods for spatial transcriptomics data	R	11	CC-BY-4.0	02_run methods/run_spatialde/callSVG_spatialDE.py | 02_run methods/run_spatialde/mosta_spatialDE.py | 02_run methods/run_spatialde/simulations_spatialDE.py | 02_run methods/run_spatialde/subsample_genes_spatialde.py | 02_run methods/run_spatialde/subsample_spots_spatialde.py | 03_SVG detection/plot_p_value_proportions.R | 03_SVG detection/plot_pairwise_spearmans.R | 03_SVG detection/plot_prop_overlapping_sigSVGs.R | 04_gene interdependency/plot_gene_sampling_spearmans.R | 04_gene interdependency/plot_gene_stats_expr_correlation.R | 05_robustness to sparsity/plot_prop_of_overlap_and_unique_SVGs.R | 05_robustness to sparsity/plot_spot_sampling_spearmans.R | 06_downstream clustering/perform_SINFONIA_clustering.py | 06_downstream clustering/perform_bayesspace_clustering.R | 06_downstream clustering/perform_kmeans_hc_clustering.R | 06_downstream clustering/perform_spaGCN_clustering.py | 06_downstream clustering/plot_E9.5_celltype_proportions.R | 06_downstream clustering/plot_clustering_concordance.R | 07_simulations/plot_prop_groundtruth_sigSVGs.R | 08_computational resource/plot_memory.R
axelalmet/flowsig	https://github.com/axelalmet/flowsig	paper_analysis_code_candidate	1546	S0392	10.1038/s41592-024-02380-w	2024	Inferring pattern-driving intercellular flows from single-cell and spatial transcriptomics.			stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	cell_cell_interaction:3;cell_type_mapping:2;publication_plotting:1;quality_control_preprocessing:3;spatial_cell_type_interpretation:1;spatial_communication:3;spatial_domain:1;spatial_programs:4	Python package to find communication-driven intercellular flows from single-cell RNA-sequencing and spatial transcriptomics data.	Python	86	MIT	build/lib/flowsig/plotting/__init__.py | build/lib/flowsig/plotting/_plotting.py | build/lib/flowsig/preprocessing/_spatial_blocking.py | build/lib/flowsig/tools/_spatial.py | src/flowsig/plotting/__init__.py | src/flowsig/plotting/_plotting.py | src/flowsig/preprocessing/_spatial_blocking.py | src/flowsig/tools/_spatial.py | src/flowsig/tutorials/.ipynb_checkpoints/mouse_embryo_stereoseq_example-checkpoint.ipynb | src/flowsig/tutorials/.ipynb_checkpoints/mouse_embryo_stereoseq_example_script-checkpoint.py | src/flowsig/tutorials/mouse_embryo_stereoseq_example.ipynb | src/flowsig/tutorials/mouse_embryo_stereoseq_example_script.py
ReproductiveEndocrinologyMetabolism/Endo.R	https://github.com/ReproductiveEndocrinologyMetabolism/Endo.R	paper_analysis_code_candidate	1544	S0113	10.1038/s41591-025-03592-z	2025	Single-cell profiling of the human endometrium in polycystic ovary syndrome.	human		stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	cell_cell_interaction:6;cell_type_mapping:7;developmental_trajectory:2;publication_plotting:12;quality_control_preprocessing:3;spatial_cell_type_interpretation:1;spatial_communication:6;spatial_domain:13;spatial_programs:10	Author: Gustaw Eriksson	R	4	MIT	Spatial RNA-seq analysis/00.1_Stereopy_binning.py | Spatial RNA-seq analysis/00.2_Seurat_preprocessing.R | Spatial RNA-seq analysis/01_UMAP_Label_Transfer.R | Spatial RNA-seq analysis/02_Annotation_filtering.R | Spatial RNA-seq analysis/03_Subclustering.R | Spatial RNA-seq analysis/04.1_Marker_Visualisation_Full_Slide.R | Spatial RNA-seq analysis/04.2_Marker_Visualisation_Targeted_Region.R | Spatial RNA-seq analysis/Create_directory.sh | snRNA-sequencing analysis/02_Main_Clustering.R | snRNA-sequencing analysis/03_Main_Cluster_Labelling.R | snRNA-sequencing analysis/04_Subsetting_Main_Clusters.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Endothelial_Lymphatic.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Epithelium.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Immune.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Stroma.R | snRNA-sequencing analysis/07.1_GO_GSEA_analysis.R | snRNA-sequencing analysis/07.2_GO_GSEA_visualisation.R | snRNA-sequencing analysis/08.1_Generate_Average_Seurat.R | snRNA-sequencing analysis/08.2_Plot_Heatmaps_DEG_GO.R | snRNA-sequencing analysis/08.3_Plot_Violinplots.R
ckmah/bento-tools	https://github.com/ckmah/bento‐tools	paper_analysis_code_candidate	1541	S0351	10.1002/smtd.202400975	2025	UCS: A Unified Approach to Cell Segmentation for Subcellular Spatial Transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	3d_reconstruction:1;cell_type_mapping:2;publication_plotting:2;quality_control_preprocessing:7;spatial_domain:5;spatial_programs:1	A Python toolkit for subcellular analysis of spatial transcriptomics data	Python	86	BSD-2-Clause	bento/plotting/__init__.py | bento/plotting/_colors.py | bento/plotting/_layers.py | bento/plotting/_lp.py | bento/plotting/_multidimensional.py | bento/plotting/_plotting.py | bento/plotting/_signatures.py | bento/plotting/_utils.py | docs/source/tutorial_gallery/Spatial_Features.ipynb | docs/source/tutorial_gallery/Spatial_Plotting.ipynb | tests/test_plotting.py
