selection_rank	paper_id	doi	year	journal	title	species	tissue	figure_count	panel_count	tools_observed	skill_tags	digest_path
1	S0001	10.1002/advs.202203040	2022	Adv Sci (Weinh)	Single-Nucleus RNA Sequencing and Spatial Transcriptomics Reveal the Immunological Microenvironment of Cervical Squamous Cell Carcinoma.		carcinoma	7	7	GSVA:3;Seurat:1;CellChat:1;Monocle:1;GSEA:1	publication_plotting:6;spatial_programs:5;cell_type_mapping:3;spatial_cell_type_interpretation:2;spatial_domain:2;developmental_trajectory:1;quality_control_preprocessing:1;cell_cell_interaction:1;spatial_communication:1	paper_digests/papers/S0001.md
2	S0002	10.1002/advs.202405914	2025	Adv Sci (Weinh)	Spatiotemporal Transcriptomic Profiling Reveals the Dynamic Immunological Landscape of Alveolar Echinococcosis.			7	9	GSVA:3;CellChat:3;Tangram:2;NicheNet:2;Seurat:1;pySCENIC:1;Harmony:1	spatial_domain:6;cell_type_mapping:5;spatial_programs:5;publication_plotting:5;cell_cell_interaction:4;spatial_communication:4;developmental_trajectory:1;quality_control_preprocessing:1;spatial_cell_type_interpretation:1	paper_digests/papers/S0002.md
3	S0003	10.1002/advs.202407221	2024	Adv Sci (Weinh)	Cross-Species Insights into Trophoblast Invasion During Placentation Governed by Immune-Featured Trophoblast Cells.		placenta;placentation	6	6	cell2location:2;Seurat:1;CellChat:1;Monocle:1	cell_type_mapping:6;spatial_domain:6;publication_plotting:5;spatial_programs:5;spatial_cell_type_interpretation:4;developmental_trajectory:2;cell_cell_interaction:1;spatial_communication:1	paper_digests/papers/S0003.md
4	S0004	10.1002/advs.202411126	2025	Adv Sci (Weinh)	Integrating Spatial and Single-Nucleus Transcriptomic Data to Assess the Effects of Intrauterine Hyperglycemia on Fetal Pancreatic Development.			6	13	CellChat:3;pySCENIC:2;SAW:1;Seurat:1;Scanpy:1;Harmony:1	publication_plotting:5;spatial_programs:5;spatial_domain:4;quality_control_preprocessing:4;spatial_cell_type_interpretation:4;cell_cell_interaction:3;spatial_communication:3;cell_type_mapping:3;spatial_grn_regulon:1	paper_digests/papers/S0004.md
5	S0005	10.1002/advs.202414230	2025	Adv Sci (Weinh)	Human Pituitary Organoids: Transcriptional Landscape Deciphered by scRNA-Seq and Stereo-Seq, with Insights into SOX3's Role in Pituitary Development.	human		7	9	Seurat:1;CellChat:1;Monocle:1	publication_plotting:4;spatial_domain:4;developmental_trajectory:2;spatial_programs:2;3d_reconstruction:1;cell_cell_interaction:1;spatial_communication:1	paper_digests/papers/S0005.md
6	S0006	10.1002/advs.202417528	2025	Adv Sci (Weinh)	Integrative Single-Cell Analysis Reveals Iron Overload-Induced Senescence and Metabolic Reprogramming in Ovarian Endometriosis-Associated Infertility.		ovarian	8	23	Monocle:4;GSEA:3;CellChat:2;RCTD/spacexr:2;SAW:1;Seurat:1;pySCENIC:1;Harmony:1	spatial_programs:10;cell_type_mapping:8;publication_plotting:7;spatial_domain:6;spatial_cell_type_interpretation:3;developmental_trajectory:3;quality_control_preprocessing:1;cell_cell_interaction:1;spatial_communication:1;spatial_grn_regulon:1	paper_digests/papers/S0006.md
7	S0007	10.1002/advs.202500216	2025	Adv Sci (Weinh)	Single-Cell and Spatial Transcriptomic Profiling of Penile Squamous Cell Carcinoma Reveals Dynamics of Tumor Differentiation and Immune Microenvironment.		tumor;carcinoma	6	10	pySCENIC:2;SAW:1;Stereopy:1;Seurat:1;Scanpy:1;AnnData:1;CellChat:1;NicheNet:1;Squidpy:1	publication_plotting:7;spatial_domain:5;cell_type_mapping:4;developmental_trajectory:4;spatial_programs:4;cell_cell_interaction:3;spatial_communication:3;spatial_cell_type_interpretation:2;spatial_grn_regulon:1;quality_control_preprocessing:1	paper_digests/papers/S0007.md
8	S0008	10.1002/advs.202509733	2025	Adv Sci (Weinh)	Globotriaosylceramide Gb3 Influences Wound Healing and Scar Formation by Orchestrating Fibroblast Heterogeneity.			7	8	GSVA:2;SAW:1;Seurat:1;Scanpy:1	spatial_programs:5;spatial_domain:3;developmental_trajectory:2;quality_control_preprocessing:2;spatial_cell_type_interpretation:2;cell_type_mapping:1;publication_plotting:1;cell_cell_interaction:1;spatial_communication:1	paper_digests/papers/S0008.md
9	S0009	10.1002/ctm2.1515	2023	Clin Transl Med	Single-cell and spatial transcriptomics reveal POSTN+ cancer-associated fibroblasts correlated with immune suppression and tumour progression in non-small cell lung cancer.		lung;cancer	5	34	SAW:1;Seurat:1;RCTD/spacexr:1;SPOTlight:1;NicheNet:1;GSVA:1;GSEA:1	publication_plotting:10;spatial_domain:9;spatial_programs:3;spatial_cell_type_interpretation:3;quality_control_preprocessing:3;cell_type_mapping:2;cell_cell_interaction:2;spatial_communication:2;developmental_trajectory:1	paper_digests/papers/S0009.md
10	S0010	10.1002/ctm2.669	2022	Clin Transl Med	Clinical challenges of tissue preparation for spatial transcriptome.			6	95	Seurat:1;SingleR:1	quality_control_preprocessing:4;spatial_domain:2;developmental_trajectory:1;cell_type_mapping:1;publication_plotting:1	paper_digests/papers/S0010.md
11	S0011	10.1002/imt2.272	2025	Imeta	Cross-tissue multi-omics analyses reveal the gut microbiota's absence impacts organ morphology, immune homeostasis, bile acid and lipid metabolism.			6	46	SAW:1;Seurat:1;cell2location:1	publication_plotting:17;spatial_programs:11;spatial_domain:9;spatial_cell_type_interpretation:2;cell_type_mapping:2;quality_control_preprocessing:2;3d_reconstruction:1;developmental_trajectory:1;cell_cell_interaction:1;spatial_communication:1	paper_digests/papers/S0011.md
12	S0012	10.1007/s11427-023-2360-3	2024	Sci China Life Sci	Cellular atlases of ovarian microenvironment alterations by diet and genetically-induced obesity.		ovarian	0	0			paper_digests/papers/S0012.md
13	S0013	10.1007/s11427-023-2467-1	2024	Sci China Life Sci	The spatial transcriptomic landscape of human gingiva in health and periodontitis.	human	gingiva	0	0			paper_digests/papers/S0013.md
