repo	source_url	classification	linked_papers	paper_dois	paper_titles	skill_names	description	reusable_files
lcy1364/Cortex-Atlas-Code	https://github.com/lcy1364/Cortex-Atlas-Code	paper_analysis_code_candidate	S0097	10.1038/s41467-025-62793-9	Charting the spatial transcriptome of the human cerebral cortex at single-cell resolution.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Cortex-Atlas-Code	src/STEREO/1_cellbin/1_gemToH5ad.py | src/STEREO/1_cellbin/2_h5adToRDS.R | src/STEREO/1_cellbin/read_io.py | src/STEREO/2_Deconvolution_and_QC/1_Initial_deconvolution.R | src/STEREO/2_Deconvolution_and_QC/2_second_subclass_deconvolution.R | src/STEREO/2_Deconvolution_and_QC/3_RCTD_resumeMICROandOPC.R | src/STEREO/2_Deconvolution_and_QC/4_spatialCellMeta.R | src/STEREO/3_domainProcess/2_generatingData.R | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFC_stLearn.py | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFCs_SEDR.py | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFCs_SpaGCN.py | src/STEREO/3_domainProcess/DeepST-main/deepst/DeepST.py | src/STEREO/3_domainProcess/DeepST-main/deepst/_compat.py | src/STEREO/3_domainProcess/DeepST-main/deepst/adj.py | src/STEREO/3_domainProcess/DeepST-main/deepst/augment.py | src/STEREO/3_domainProcess/DeepST-main/deepst/his_feat.py | src/STEREO/3_domainProcess/DeepST-main/deepst/model.py | src/STEREO/3_domainProcess/DeepST-main/deepst/trainer.py | src/STEREO/3_domainProcess/DeepST-main/deepst/utils_func.py | src/STEREO/3_domainProcess/DeepST_run.py
STOmics/STCellbin	https://github.com/STOmics/STCellbin	paper_analysis_code_candidate	S0185	10.46471/gigabyte.110	Generating single-cell gene expression profiles for high-resolution spatial transcriptomics based on cell boundary images.	stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-cellbin-segmentation	Enhanced application on generating single-cell gene expression profile for high-resolution spatial transcriptomics.	STCellbin.py | src/cellbin/__init__.py | src/cellbin/contrib/GMM_correct.py | src/cellbin/contrib/__init__.py | src/cellbin/contrib/alignment.py | src/cellbin/contrib/cell_mask.py | src/cellbin/contrib/fast_correct.py | src/cellbin/contrib/fov_aligner.py | src/cellbin/contrib/global_location.py | src/cellbin/contrib/line_detector.py | src/cellbin/contrib/roi_track.py | src/cellbin/contrib/template_match.py | src/cellbin/contrib/template_reference.py | src/cellbin/contrib/track_roi_picker.py | src/cellbin/contrib/vision_track.py | src/cellbin/dnn/__init__.py | src/cellbin/dnn/clarity/__init__.py | src/cellbin/dnn/clarity/evaler.py | src/cellbin/dnn/common.py | src/cellbin/dnn/cseg/__init__.py
JEFworks-Lab/STalign	https://github.com/JEFworks-Lab/STalign	paper_analysis_code_candidate	S0449	10.1186/s13059-024-03361-0	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	Python tool for alignment of spatial transcriptomics (ST) data using diffeomorphic metric mapping	STalign/STalign.py | STalign/__init__.py | STalign/curve_annotator.py | STalign/point_annotator.py | docs/notebooks/heart-alignment-varying-thickness.ipynb | docs/notebooks/heart-alignment.ipynb | docs/notebooks/merfish-allen3Datlas-alignment.ipynb | docs/notebooks/merfish-merfish-alignment-affine-only-with-points.ipynb | docs/notebooks/merfish-merfish-alignment-affine-only.ipynb | docs/notebooks/merfish-merfish-alignment-simulation.ipynb | docs/notebooks/merfish-merfish-alignment-using-L-T.ipynb | docs/notebooks/merfish-merfish-alignment.ipynb | docs/notebooks/merfish-visium-alignment-with-curve-annotator.ipynb | docs/notebooks/merfish-visium-alignment-with-point-annotator.ipynb | docs/notebooks/merfish-visium-alignment.ipynb | docs/notebooks/merfish-xenium-alignment.ipynb | docs/notebooks/starmap-allen3Datlas-alignment.ipynb | docs/notebooks/visium-visium-alignment-affine-only.ipynb | docs/notebooks/xenium-heimage-alignment.ipynb | docs/notebooks/xenium-starmap-alignment.ipynb
y-bai/SpaSEG	https://github.com/y-bai/SpaSEG	paper_analysis_code_candidate	S0456	10.1186/s13059-025-03697-1	SpaSEG: unsupervised deep learning for multi-task analysis of spatially resolved transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	An unsupervised convolutional neural network-based model for multiple SRT analysis tasks, including spatial domain identification, multiple adjacent sections integration, SVG detection, and spatial CCI inference.	data_processing/scanpy_processing.py | downstream/cci/__init__.py | downstream/cci/cci.py | downstream/plotting/__init__.py | downstream/plotting/_heatmapplot.py | downstream/plotting/_svgplot.py | downstream/plotting/_utils.py | downstream/plotting/_venn.py | notebook/CCI/CCI_colocalization_IDC.ipynb | notebook/CCI/CCI_colocalization_MB.ipynb | notebook/CCI/IDC_LR_counts_heatmap.ipynb | notebook/CCI/IDC_dotplot_LR_celltype.ipynb | notebook/CCI/MB_cellChat.ipynb | notebook/CCI/Mouse_brain_bin200_LR_CT_corr_heatmap.ipynb | notebook/CCI/Mouse_brain_bin200_LR_counts_heatmap.ipynb | notebook/CCI/Mouse_brain_dotplot_LR_celltype.ipynb | notebook/CCI/cci_analysis_notebook.ipynb | notebook/MultiPlatform/Mouse_Brain_marker_gene.ipynb | notebook/MultiPlatform/cellbin_cluster.ipynb | notebook/MultiPlatform/merfish_celltype_annotation.ipynb
axelalmet/flowsig	https://github.com/axelalmet/flowsig	paper_analysis_code_candidate	S0392	10.1038/s41592-024-02380-w	Inferring pattern-driving intercellular flows from single-cell and spatial transcriptomics.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Python package to find communication-driven intercellular flows from single-cell RNA-sequencing and spatial transcriptomics data.	build/lib/flowsig/plotting/__init__.py | build/lib/flowsig/plotting/_plotting.py | build/lib/flowsig/preprocessing/_spatial_blocking.py | build/lib/flowsig/tools/_spatial.py | src/flowsig/plotting/__init__.py | src/flowsig/plotting/_plotting.py | src/flowsig/preprocessing/_spatial_blocking.py | src/flowsig/tools/_spatial.py | src/flowsig/tutorials/.ipynb_checkpoints/mouse_embryo_stereoseq_example-checkpoint.ipynb | src/flowsig/tutorials/.ipynb_checkpoints/mouse_embryo_stereoseq_example_script-checkpoint.py | src/flowsig/tutorials/mouse_embryo_stereoseq_example.ipynb | src/flowsig/tutorials/mouse_embryo_stereoseq_example_script.py
ReproductiveEndocrinologyMetabolism/Endo.R	https://github.com/ReproductiveEndocrinologyMetabolism/Endo.R	paper_analysis_code_candidate	S0113	10.1038/s41591-025-03592-z	Single-cell profiling of the human endometrium in polycystic ovary syndrome.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Author: Gustaw Eriksson	Spatial RNA-seq analysis/00.1_Stereopy_binning.py | Spatial RNA-seq analysis/00.2_Seurat_preprocessing.R | Spatial RNA-seq analysis/01_UMAP_Label_Transfer.R | Spatial RNA-seq analysis/02_Annotation_filtering.R | Spatial RNA-seq analysis/03_Subclustering.R | Spatial RNA-seq analysis/04.1_Marker_Visualisation_Full_Slide.R | Spatial RNA-seq analysis/04.2_Marker_Visualisation_Targeted_Region.R | Spatial RNA-seq analysis/Create_directory.sh | snRNA-sequencing analysis/02_Main_Clustering.R | snRNA-sequencing analysis/03_Main_Cluster_Labelling.R | snRNA-sequencing analysis/04_Subsetting_Main_Clusters.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Endothelial_Lymphatic.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Epithelium.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Immune.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Stroma.R | snRNA-sequencing analysis/07.1_GO_GSEA_analysis.R | snRNA-sequencing analysis/07.2_GO_GSEA_visualisation.R | snRNA-sequencing analysis/08.1_Generate_Average_Seurat.R | snRNA-sequencing analysis/08.2_Plot_Heatmaps_DEG_GO.R | snRNA-sequencing analysis/08.3_Plot_Violinplots.R
ckmah/bento-tools	https://github.com/ckmah/bento‐tools	paper_analysis_code_candidate	S0351	10.1002/smtd.202400975	UCS: A Unified Approach to Cell Segmentation for Subcellular Spatial Transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	A Python toolkit for subcellular analysis of spatial transcriptomics data	bento/plotting/__init__.py | bento/plotting/_colors.py | bento/plotting/_layers.py | bento/plotting/_lp.py | bento/plotting/_multidimensional.py | bento/plotting/_plotting.py | bento/plotting/_signatures.py | bento/plotting/_utils.py | docs/source/tutorial_gallery/Spatial_Features.ipynb | docs/source/tutorial_gallery/Spatial_Plotting.ipynb | tests/test_plotting.py
STOmics/Spatialign	https://github.com/STOmics/Spatialign ; https://github.com/STOmics/Spatialign.gitâ€�	paper_analysis_code_candidate	S0131;S0466	10.1093/gigascience/giae042;10.46471/gigabyte.108	spatiAlign: an unsupervised contrastive learning model for data integration of spatially resolved transcriptomics.; BatchEval Pipeline: batch effect evaluation workflow for multiple datasets joint analysis.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Spatially Resolved Transcriptomics Integration Algorithm	produce_figures/figure2.ipynb | produce_figures/figure3.ipynb | produce_figures/figure4.ipynb | produce_figures/figure5.ipynb | produce_figures/supp2-3-4-1.ipynb | produce_figures/supp2-3-4-2.ipynb | produce_figures/supp5.ipynb | produce_figures/supp7-8.ipynb | spatialign/__init__.py | spatialign/module/__init__.py | spatialign/module/dgi.py | spatialign/module/domain_specific_batch_norm.py | spatialign/module/embed_layer.py | spatialign/module/embed_model.py | spatialign/module/graph_vae.py | spatialign/module/losses.py | spatialign/module/residual_bottleneck.py | spatialign/spatialign/__init__.py | spatialign/spatialign/model.py | spatialign/spatialign/trainer.py
GuangyuWangLab2021/Thor	https://github.com/GuangyuWangLab2021/Thor	paper_analysis_code_candidate	S0382	10.1038/s41467-025-62593-1	Thor: a platform for cell-level investigation of spatial transcriptomics and histology.	stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Cell level integrated analysis of tissue histology and spatial transcriptomics	notebooks/tutorial_run_cell_communication_commot.ipynb | src/thor/analysis/R/dend_plot.R | src/thor/analysis/deg.py | src/thor/plotting/__init__.py | src/thor/plotting/_utils.py | src/thor/plotting/annot.py | src/thor/plotting/assess.py | src/thor/plotting/boundary.py | src/thor/plotting/colors.py | src/thor/plotting/deg.py | src/thor/plotting/fill.py | src/thor/plotting/graph.py | src/thor/plotting/spot.py | src/thor/plotting/spot_overlap.py | src/thor/plotting/spot_pie.py
gyuanlab/ONTraC_paper	https://github.com/gyuanlab/ONTraC_paper	paper_analysis_code_candidate	S0451	10.1186/s13059-025-03588-5	ONTraC characterizes spatially continuous variations of tissue microenvironment through niche trajectory analysis.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon		MERFISH_motor_cortex_data/benchmark_using_public_methods/run_spatialPCA.R | MERFISH_motor_cortex_data/spatial_domain/GraphPCA_merfish_selected.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_1/R_Pseudotime_simulation.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_1/R_spatialpca.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_2/R_pseudotime.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_2/spatialPCA.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_3/R_pseudotime.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_3/spatialPCA.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_4/R_pseudotime.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_4/spatialPCA.ipynb | Stereo_seq_midbrain_data/post_analysis/MOSCOT/Moscot.ipynb | Stereo_seq_midbrain_data/post_analysis/MOSCOT/R_OT_analysis.ipynb | Stereo_seq_midbrain_data/post_analysis/Meta_cell/Meta_cell_based_gene_exp_along_trajectory.ipynb | Stereo_seq_midbrain_data/post_analysis/SCENIC/Python_SCENIC.ipynb | Stereo_seq_midbrain_data/post_analysis/cell_proximal_and_CCI/Python_cci_difference_represents.ipynb | Stereo_seq_midbrain_data/post_analysis/cell_proximal_and_CCI/R_cell_type_proximal.ipynb | Stereo_seq_midbrain_data/run_ONTraC/stereo_midbrain_base_analysis_lsf.sh | Stereo_seq_midbrain_data/run_ONTraC/stereo_midbrain_base_run_lsf.sh | Stereo_seq_midbrain_data/spatial_domain/GraphPCA_stereo.ipynb | Xenium_cancer_data/Supplementary_figure_11.R
