repo	source_url	classification	linked_papers	paper_dois	paper_titles	skill_names	description	reusable_files
lcy1364/Cortex-Atlas-Code	https://github.com/lcy1364/Cortex-Atlas-Code	paper_analysis_code_candidate	S0097	10.1038/s41467-025-62793-9	Charting the spatial transcriptome of the human cerebral cortex at single-cell resolution.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Cortex-Atlas-Code	src/STEREO/1_cellbin/1_gemToH5ad.py | src/STEREO/1_cellbin/2_h5adToRDS.R | src/STEREO/1_cellbin/read_io.py | src/STEREO/2_Deconvolution_and_QC/1_Initial_deconvolution.R | src/STEREO/2_Deconvolution_and_QC/2_second_subclass_deconvolution.R | src/STEREO/2_Deconvolution_and_QC/3_RCTD_resumeMICROandOPC.R | src/STEREO/2_Deconvolution_and_QC/4_spatialCellMeta.R | src/STEREO/3_domainProcess/2_generatingData.R | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFC_stLearn.py | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFCs_SEDR.py | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFCs_SpaGCN.py | src/STEREO/3_domainProcess/DeepST-main/deepst/DeepST.py | src/STEREO/3_domainProcess/DeepST-main/deepst/_compat.py | src/STEREO/3_domainProcess/DeepST-main/deepst/adj.py | src/STEREO/3_domainProcess/DeepST-main/deepst/augment.py | src/STEREO/3_domainProcess/DeepST-main/deepst/his_feat.py | src/STEREO/3_domainProcess/DeepST-main/deepst/model.py | src/STEREO/3_domainProcess/DeepST-main/deepst/trainer.py | src/STEREO/3_domainProcess/DeepST-main/deepst/utils_func.py | src/STEREO/3_domainProcess/DeepST_run.py
axelalmet/flowsig	https://github.com/axelalmet/flowsig	paper_analysis_code_candidate	S0392	10.1038/s41592-024-02380-w	Inferring pattern-driving intercellular flows from single-cell and spatial transcriptomics.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Python package to find communication-driven intercellular flows from single-cell RNA-sequencing and spatial transcriptomics data.	build/lib/flowsig/plotting/__init__.py | build/lib/flowsig/plotting/_plotting.py | build/lib/flowsig/preprocessing/_spatial_blocking.py | build/lib/flowsig/tools/_spatial.py | src/flowsig/plotting/__init__.py | src/flowsig/plotting/_plotting.py | src/flowsig/preprocessing/_spatial_blocking.py | src/flowsig/tools/_spatial.py | src/flowsig/tutorials/.ipynb_checkpoints/mouse_embryo_stereoseq_example-checkpoint.ipynb | src/flowsig/tutorials/.ipynb_checkpoints/mouse_embryo_stereoseq_example_script-checkpoint.py | src/flowsig/tutorials/mouse_embryo_stereoseq_example.ipynb | src/flowsig/tutorials/mouse_embryo_stereoseq_example_script.py
ReproductiveEndocrinologyMetabolism/Endo.R	https://github.com/ReproductiveEndocrinologyMetabolism/Endo.R	paper_analysis_code_candidate	S0113	10.1038/s41591-025-03592-z	Single-cell profiling of the human endometrium in polycystic ovary syndrome.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Author: Gustaw Eriksson	Spatial RNA-seq analysis/00.1_Stereopy_binning.py | Spatial RNA-seq analysis/00.2_Seurat_preprocessing.R | Spatial RNA-seq analysis/01_UMAP_Label_Transfer.R | Spatial RNA-seq analysis/02_Annotation_filtering.R | Spatial RNA-seq analysis/03_Subclustering.R | Spatial RNA-seq analysis/04.1_Marker_Visualisation_Full_Slide.R | Spatial RNA-seq analysis/04.2_Marker_Visualisation_Targeted_Region.R | Spatial RNA-seq analysis/Create_directory.sh | snRNA-sequencing analysis/02_Main_Clustering.R | snRNA-sequencing analysis/03_Main_Cluster_Labelling.R | snRNA-sequencing analysis/04_Subsetting_Main_Clusters.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Endothelial_Lymphatic.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Epithelium.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Immune.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Stroma.R | snRNA-sequencing analysis/07.1_GO_GSEA_analysis.R | snRNA-sequencing analysis/07.2_GO_GSEA_visualisation.R | snRNA-sequencing analysis/08.1_Generate_Average_Seurat.R | snRNA-sequencing analysis/08.2_Plot_Heatmaps_DEG_GO.R | snRNA-sequencing analysis/08.3_Plot_Violinplots.R
STOmics/Spatialign	https://github.com/STOmics/Spatialign ; https://github.com/STOmics/Spatialign.gitâ€�	paper_analysis_code_candidate	S0131;S0466	10.1093/gigascience/giae042;10.46471/gigabyte.108	spatiAlign: an unsupervised contrastive learning model for data integration of spatially resolved transcriptomics.; BatchEval Pipeline: batch effect evaluation workflow for multiple datasets joint analysis.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Spatially Resolved Transcriptomics Integration Algorithm	produce_figures/figure2.ipynb | produce_figures/figure3.ipynb | produce_figures/figure4.ipynb | produce_figures/figure5.ipynb | produce_figures/supp2-3-4-1.ipynb | produce_figures/supp2-3-4-2.ipynb | produce_figures/supp5.ipynb | produce_figures/supp7-8.ipynb | spatialign/__init__.py | spatialign/module/__init__.py | spatialign/module/dgi.py | spatialign/module/domain_specific_batch_norm.py | spatialign/module/embed_layer.py | spatialign/module/embed_model.py | spatialign/module/graph_vae.py | spatialign/module/losses.py | spatialign/module/residual_bottleneck.py | spatialign/spatialign/__init__.py | spatialign/spatialign/model.py | spatialign/spatialign/trainer.py
lskfs/ascidian-endostyle	https://github.com/lskfs/ascidian-endostyle	paper_analysis_code_candidate	S0149	10.1126/sciadv.adi9035	Spatially resolved single-cell atlas of ascidian endostyle provides insight into the origin of vertebrate pharyngeal organs.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Source code for ascidian endostyle manuscript	01.stereo-seq_cellseg/cellsegment.py | 01.stereo-seq_cellseg/centroid.py | 01.stereo-seq_cellseg/gem_mask.py | 01.stereo-seq_cellseg/mix_segmentation.py | 02.stereo-seq_clustering/Stereo_seurat.cellbin.R | 02.stereo-seq_clustering/seurat_integrate.R | 03.single_cell_clustering/integration.singlecell.SCT.R | 03.single_cell_clustering/single-cell-seurat-MT-211101.R | 07.RNA_velocity/dynamo_pipe.single.py | 07.RNA_velocity/pre-velocyto.py | 10.cross-species_comparison/sankeyPlot.R | 11.trajectory_projection/classify_trajectory_genes.py | 11.trajectory_projection/extract_TLC_exp.py | 11.trajectory_projection/monocle2.R | 11.trajectory_projection/region_divide_pt.py | 11.trajectory_projection/trajectory_mapping.py | 12.HLR_Blood_single_cell_trajectory/01.downsampling.sh | 12.HLR_Blood_single_cell_trajectory/01.seeksoultools.sh | 12.HLR_Blood_single_cell_trajectory/02.single-cell-seurat.R | 12.HLR_Blood_single_cell_trajectory/02.work-Seurat.sh
gyuanlab/ONTraC_paper	https://github.com/gyuanlab/ONTraC_paper	paper_analysis_code_candidate	S0451	10.1186/s13059-025-03588-5	ONTraC characterizes spatially continuous variations of tissue microenvironment through niche trajectory analysis.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon		MERFISH_motor_cortex_data/benchmark_using_public_methods/run_spatialPCA.R | MERFISH_motor_cortex_data/spatial_domain/GraphPCA_merfish_selected.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_1/R_Pseudotime_simulation.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_1/R_spatialpca.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_2/R_pseudotime.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_2/spatialPCA.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_3/R_pseudotime.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_3/spatialPCA.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_4/R_pseudotime.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_4/spatialPCA.ipynb | Stereo_seq_midbrain_data/post_analysis/MOSCOT/Moscot.ipynb | Stereo_seq_midbrain_data/post_analysis/MOSCOT/R_OT_analysis.ipynb | Stereo_seq_midbrain_data/post_analysis/Meta_cell/Meta_cell_based_gene_exp_along_trajectory.ipynb | Stereo_seq_midbrain_data/post_analysis/SCENIC/Python_SCENIC.ipynb | Stereo_seq_midbrain_data/post_analysis/cell_proximal_and_CCI/Python_cci_difference_represents.ipynb | Stereo_seq_midbrain_data/post_analysis/cell_proximal_and_CCI/R_cell_type_proximal.ipynb | Stereo_seq_midbrain_data/run_ONTraC/stereo_midbrain_base_analysis_lsf.sh | Stereo_seq_midbrain_data/run_ONTraC/stereo_midbrain_base_run_lsf.sh | Stereo_seq_midbrain_data/spatial_domain/GraphPCA_stereo.ipynb | Xenium_cancer_data/Supplementary_figure_11.R
Coleliao/Spatial_OT	https://github.com/Coleliao/Spatial_OT	paper_analysis_code_candidate	S0054	10.1016/j.isci.2024.109009	Spatial and single-nucleus transcriptomics decoding the molecular landscape and cellular organization of avian optic tectum.	stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Spatial and Single Nucleus Transcriptomics Decoding the Molecular Landscape and Cellular Organization of Avian Optic Tectum	functions/Visualization.R | snRNA_analysis/fig4AB_single_nucleus_dOT_clustering.R | snRNA_analysis/fig4C_EXN_subclustering.R | snRNA_analysis/fig4D_birds_mouse_correlation.R | snRNA_analysis/fig4EF_DEG_GO_among_dOT_EXNs.R | snRNA_analysis/fig4H_EXN_deg_score_on_bin100Spatial.R | snRNA_analysis/figS5FGHI_INN_subclsustering.R | spatial_analysis/fig1BC_spGCN_bin100.py | spatial_analysis/fig1BC_spatial_visualization_mannaul_annotation.R | spatial_analysis/fig1D_correlation_analysis.R | spatial_analysis/fig1E_integrate_spatial_sections_bin100.R | spatial_analysis/fig2AB_differential_expression_analysis.R | spatial_analysis/fig2C_figS2_GO_layer_deg.R | spatial_analysis/fig2D_vlnplot_selected_deg.R | spatial_analysis/fig3A_cell_segmentation.py | spatial_analysis/fig3BCDE_cellbin_clustering.R | spatial_analysis/fig3FGH_SGP_cellbin_subclustering.R | spatial_analysis/figS3_neurotransmitter_moudle_score.R | spatial_analysis/h5_to_RDS.R | spatial_analysis/h5ad_to_h5.py
deepomicslab/SPIDER	https://github.com/deepomicslab/SPIDER	paper_analysis_code_candidate	S0383	10.1038/s41467-025-62988-0	Finding spatially variable ligand-receptor interactions with functional support from downstream genes.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		spider/SpatialDE2/__init__.py | spider/SpatialDE2/_internal/__init__.py | spider/SpatialDE2/_internal/distance_cache.py | spider/SpatialDE2/_internal/gpflow_helpers.py | spider/SpatialDE2/_internal/kernels.py | spider/SpatialDE2/_internal/models.py | spider/SpatialDE2/_internal/optimizer.py | spider/SpatialDE2/_internal/score_test.py | spider/SpatialDE2/_internal/sm_kernel.py | spider/SpatialDE2/_internal/svca.py | spider/SpatialDE2/_internal/tf_dataset.py | spider/SpatialDE2/_internal/util.py | spider/SpatialDE2/_internal/util_mixture.py | spider/SpatialDE2/aeh.py | spider/SpatialDE2/de_test.py | spider/SpatialDE2/dp_hmrf.py | spider/SpatialDE2/gaussian_process.py | spider/SpatialDE2/io.py | spider/SpatialDE2/svca.py | spider/visualization.py
axelalmet/FlowSigAnalysis_2023	https://github.com/axelalmet/FlowSigAnalysis_2023	paper_analysis_code_candidate	S0392	10.1038/s41592-024-02380-w	Inferring pattern-driving intercellular flows from single-cell and spatial transcriptomics.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	"Python and R code used to produce the analysis in Almet et al. (2023), ""Inferring pattern-driving intercellular flows from single-cell and spatial transcriptomics"""	analysis/analyse_chen22_mouse_embryo_E9.5_spatial_stereoseq.py | benchmarking/run_multinichenet_kang18_pbmcs.R | communication_inference/analyse_communication_in_burkhardt21_pancreatic_islets.R | communication_inference/analyse_communication_in_cortical_organoid_D18_vs_D35.R | communication_inference/analyse_communication_in_kang18_pbmcs.R | communication_inference/analyse_communication_in_liao20_covid_balfs.R | communication_inference/analyse_spatial_communication_in_chen2022_mouse_embryo_E9.5.py | communication_inference/cpdb/run_cpdb_kang18_ctrl.py | communication_inference/cpdb/run_cpdb_kang18_stim.py | synthetic_validation/data_generation/generate_data_for_shh_bmp4_dorsoventral_grn.py | synthetic_validation/flowsig_analysis/analyse_shh_bmp4_dorsoventral_grn_flow_accuracies.py | synthetic_validation/flowsig_analysis/analyse_shh_neural_grn_network_flow_accuracies.py | synthetic_validation/model_simulation/generate_data_for_shh_neural_grn_on_network.py | synthetic_validation/model_simulation/simulate_shh_bmp4_dorsoventral_grn_on_network.py | synthetic_validation/model_simulation/simulate_shh_neural_grn_on_network.py
gyuanlab/ONTraC	https://github.com/gyuanlab/ONTraC	paper_analysis_code_candidate	S0451	10.1186/s13059-025-03588-5	ONTraC characterizes spatially continuous variations of tissue microenvironment through niche trajectory analysis.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon	Ordered Niche Trajectory Construction	examples/code_for_paper_reproduce/Running_ONTraC_on_stereo_seq_dataset.ipynb | src/ONTraC/analysis/niche_cluster.py | src/ONTraC/analysis/spatial.py | src/ONTraC/analysis/trajectory.py | src/ONTraC/bin/NicheTrajectory.py | src/ONTraC/external/deconvolution.py | src/ONTraC/niche_trajectory/__init__.py | src/ONTraC/niche_trajectory/_niche_trajectory.py | src/ONTraC/niche_trajectory/algorithm.py | tests/test_niche_trajectory.py
