repo	source_url	classification	linked_papers	paper_dois	paper_titles	skill_names	description	reusable_files
BGI-Qingdao/ZebrafishHeartRegeneration_project	https://github.com/BGI-Qingdao/ZebrafishHeartRegeneration_project	paper_analysis_code_candidate	S0096	10.1038/s41467-025-59070-0	An organ-wide spatiotemporal transcriptomic and cellular atlas of the regenerating zebrafish heart.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs	All scripts for project: zebrafish heart regeneneration	01. scRNA clustering/01.sc_QC.r | 01. scRNA clustering/02.sc_regeneration.r | 01. scRNA clustering/03.sc_chamber.r | 02. Stereo-seq clustering/01.cluster.R | 03. 3D alignment and clustering/RCTD the other slices/01.getOther.py | 03. 3D alignment and clustering/RCTD the other slices/02.buildRef.R | 03. 3D alignment and clustering/RCTD the other slices/03.RCTD.R | 03. 3D alignment and clustering/scVI integration and seurat clustering/03.cluster_scVI.R | 04. RCTD analysis/02.RCTD.R | 06. RNA velocity analysis/03.velocity.py | 07. CellChat analysis/01.CellChat2_scRNA.R | 07. CellChat analysis/02.CellChat2_Stereoseq.R | 08. Gene imputation/3D data/A_Seurat_impute.R | 08. Gene imputation/3D data/BA_Seurat_impute.R | 08. Gene imputation/3D data/V_Seurat_impute.R | 08. Gene imputation/Regeneration data/01.Seurat_impute.R | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/A_RCTD/01.split.py | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/A_RCTD/A_RCTD.R | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/BA_RCTD/01.split.py | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/BA_RCTD/02.BA_RCTD.R
VIB-PSB/wheat_root_atlas	https://github.com/VIB-PSB/wheat_root_atlas	paper_analysis_code_candidate	S0034	10.1016/j.celrep.2025.115240	A single-cell and spatial wheat root atlas with cross-species annotations delineates conserved tissue-specific marker genes and regulators.	stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon		GRN_database/wheat MINI-ex database/01_prepare_TF2fam2mot.R | GRN_database/wheat MINI-ex database/02_prepare_mapping.R | GRN_database/wheat MINI-ex database/03_prepare_GOs.R | GRN_database/wheat TFs and motifs/A1_get_motifs-list.R | GRN_database/wheat TFs and motifs/A3_remove_redundant-motif.R | GRN_database/wheat TFs and motifs/B2_select_best-IWGSC-TFs.R | GRN_database/wheat TFs and motifs/C1_associate_CISBP-tfs-motifs_to_families.R | GRN_database/wheat_open_chromatin_regions/010_ENCODE_DCC/01b_run_build_genome_data.sh | GRN_database/wheat_open_chromatin_regions/010_ENCODE_DCC/04_tidy_split-chromosomes.R | GRN_database/wheat_open_chromatin_regions/020_OCR-annotation/01_prepare_annotations.R | GRN_database/wheat_open_chromatin_regions/020_OCR-annotation/02_annotate-OCRs.R | GRN_database/wheat_open_chromatin_regions/020_OCR-annotation/03_select-OCRs.R | GRN_database/wheat_open_chromatin_regions/030_motif-mapping/03_merge-results.R | GRN_database/wheat_open_chromatin_regions/040_gene-motif-association/01_associate_gene-motif.R | GRN_regulon_analysis/bin/cross_species_regulon_overlap.py | GRN_regulon_analysis/cross_species_miniex_regulon_overlap_analysis.ipynb | conserved_marker_analysis/bin/cross_species_deg_overlap.py | conserved_marker_analysis/cross_species_DEG_overlap_analysis.ipynb | stereo-seq-pipeline/01_prepare_Stereo-seq-data.py | stereo-seq-pipeline/02_preprocess-images.py
lskfs/ascidian-endostyle	https://github.com/lskfs/ascidian-endostyle	paper_analysis_code_candidate	S0149	10.1126/sciadv.adi9035	Spatially resolved single-cell atlas of ascidian endostyle provides insight into the origin of vertebrate pharyngeal organs.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Source code for ascidian endostyle manuscript	01.stereo-seq_cellseg/cellsegment.py | 01.stereo-seq_cellseg/centroid.py | 01.stereo-seq_cellseg/gem_mask.py | 01.stereo-seq_cellseg/mix_segmentation.py | 02.stereo-seq_clustering/Stereo_seurat.cellbin.R | 02.stereo-seq_clustering/seurat_integrate.R | 03.single_cell_clustering/integration.singlecell.SCT.R | 03.single_cell_clustering/single-cell-seurat-MT-211101.R | 07.RNA_velocity/dynamo_pipe.single.py | 07.RNA_velocity/pre-velocyto.py | 10.cross-species_comparison/sankeyPlot.R | 11.trajectory_projection/classify_trajectory_genes.py | 11.trajectory_projection/extract_TLC_exp.py | 11.trajectory_projection/monocle2.R | 11.trajectory_projection/region_divide_pt.py | 11.trajectory_projection/trajectory_mapping.py | 12.HLR_Blood_single_cell_trajectory/01.downsampling.sh | 12.HLR_Blood_single_cell_trajectory/01.seeksoultools.sh | 12.HLR_Blood_single_cell_trajectory/02.single-cell-seurat.R | 12.HLR_Blood_single_cell_trajectory/02.work-Seurat.sh
GuangyuWangLab2021/Thor	https://github.com/GuangyuWangLab2021/Thor	paper_analysis_code_candidate	S0382	10.1038/s41467-025-62593-1	Thor: a platform for cell-level investigation of spatial transcriptomics and histology.	stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Cell level integrated analysis of tissue histology and spatial transcriptomics	notebooks/tutorial_run_cell_communication_commot.ipynb | src/thor/analysis/R/dend_plot.R | src/thor/analysis/deg.py | src/thor/plotting/__init__.py | src/thor/plotting/_utils.py | src/thor/plotting/annot.py | src/thor/plotting/assess.py | src/thor/plotting/boundary.py | src/thor/plotting/colors.py | src/thor/plotting/deg.py | src/thor/plotting/fill.py | src/thor/plotting/graph.py | src/thor/plotting/spot.py | src/thor/plotting/spot_overlap.py | src/thor/plotting/spot_pie.py
gyuanlab/ONTraC_paper	https://github.com/gyuanlab/ONTraC_paper	paper_analysis_code_candidate	S0451	10.1186/s13059-025-03588-5	ONTraC characterizes spatially continuous variations of tissue microenvironment through niche trajectory analysis.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon		MERFISH_motor_cortex_data/benchmark_using_public_methods/run_spatialPCA.R | MERFISH_motor_cortex_data/spatial_domain/GraphPCA_merfish_selected.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_1/R_Pseudotime_simulation.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_1/R_spatialpca.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_2/R_pseudotime.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_2/spatialPCA.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_3/R_pseudotime.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_3/spatialPCA.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_4/R_pseudotime.ipynb | Simulated_data/benchmark_using_public_methods/apply_public_methods/simulated_dataset_4/spatialPCA.ipynb | Stereo_seq_midbrain_data/post_analysis/MOSCOT/Moscot.ipynb | Stereo_seq_midbrain_data/post_analysis/MOSCOT/R_OT_analysis.ipynb | Stereo_seq_midbrain_data/post_analysis/Meta_cell/Meta_cell_based_gene_exp_along_trajectory.ipynb | Stereo_seq_midbrain_data/post_analysis/SCENIC/Python_SCENIC.ipynb | Stereo_seq_midbrain_data/post_analysis/cell_proximal_and_CCI/Python_cci_difference_represents.ipynb | Stereo_seq_midbrain_data/post_analysis/cell_proximal_and_CCI/R_cell_type_proximal.ipynb | Stereo_seq_midbrain_data/run_ONTraC/stereo_midbrain_base_analysis_lsf.sh | Stereo_seq_midbrain_data/run_ONTraC/stereo_midbrain_base_run_lsf.sh | Stereo_seq_midbrain_data/spatial_domain/GraphPCA_stereo.ipynb | Xenium_cancer_data/Supplementary_figure_11.R
gyuanlab/ONTraC	https://github.com/gyuanlab/ONTraC	paper_analysis_code_candidate	S0451	10.1186/s13059-025-03588-5	ONTraC characterizes spatially continuous variations of tissue microenvironment through niche trajectory analysis.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon	Ordered Niche Trajectory Construction	examples/code_for_paper_reproduce/Running_ONTraC_on_stereo_seq_dataset.ipynb | src/ONTraC/analysis/niche_cluster.py | src/ONTraC/analysis/spatial.py | src/ONTraC/analysis/trajectory.py | src/ONTraC/bin/NicheTrajectory.py | src/ONTraC/external/deconvolution.py | src/ONTraC/niche_trajectory/__init__.py | src/ONTraC/niche_trajectory/_niche_trajectory.py | src/ONTraC/niche_trajectory/algorithm.py | tests/test_niche_trajectory.py
SunXQlab/stMLnet-AnalysisCode	https://github.com/SunXQlab/stMLnet-AnalysisCode	paper_analysis_code_candidate	S0143	10.1101/gr.279857.124	Dissecting multilayer cell-cell communications with signaling feedback loops from spatial transcriptomics data.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs		apply_in_COVID19/s4_visiual_CCI.R | apply_in_scST/giotto_merfish_dataset/giotto_merfish_dataset_layer9/s4_visiual_CCI.R | apply_in_scST/giotto_seqfish_dataset/s4_visiual_CCI.R | apply_in_scST/seurat_slideseq2_dataset/s0_seurat_slideseq2_dataset.R | apply_in_scST/seurat_slideseq2_dataset/s1_runMLnet.R | apply_in_scST/seurat_slideseq2_dataset/s2_calculate_LRTG_activity.R | apply_in_scST/seurat_slideseq2_dataset/s3_calculate_LRTG_importance.R | apply_in_scST/seurat_slideseq2_dataset/s4_visiual_CCI.R | benchmark/OtherMethods/COMMOT/commot_main.py | benchmark/OtherMethods/NicheNet/NicheNet_main.R
BGI-Qingdao/GEM3D_toolkit	https://github.com/BGI-Qingdao/GEM3D_toolkit	analysis_or_method_code_candidate	S0096	10.1038/s41467-025-59070-0	An organ-wide spatiotemporal transcriptomic and cellular atlas of the regenerating zebrafish heart.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs	A tool to use stereo-seq GEM and ssDNA to generate single-cell and 3D spatial resolved transtriptomics data	gem3dtk/apply_alignment.py | gem3dtk/get_xml_matrix.py | gem3dtk/prepare_alignment_image.py | gemRtk/STOmics_seurat.only_gem2rds.R | gemtk/apply_registration.py | gemtk/draw_heatmap.py | gemtk/prepare_registration_heatmap.py | gemtk/prepare_registration_ssdna.py | gemtk/second_registration.py
SunXQlab/stMLnet	https://github.com/SunXQlab/stMLnet	analysis_or_method_code_candidate	S0143	10.1101/gr.279857.124	Dissecting multilayer cell-cell communications with signaling feedback loops from spatial transcriptomics data.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs	stMLnet: Dissecting spatial and multilayer cell-cell communications with stMLnet	R/run_cell_communication.R | R/visualize_cell_communication.R
Coleliao/visual_evo	https://github.com/Coleliao/visual_evo	analysis_or_method_code_candidate	S0055	10.1016/j.isci.2025.112128	Single-nucleus profiling decoding the subcortical visual pathway evolution of vertebrates.	stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Single-nucleus profiling decoding the subcortical visual pathway evolution of vertebrates	code/04.1. human data processing and visual hub comparison.R | code/04.2. correlation and deg overlap between human and birds.R
