repo	source_url	classification	linked_papers	paper_dois	paper_titles	skill_names	description	reusable_files
BGI-Qingdao/ZebrafishHeartRegeneration_project	https://github.com/BGI-Qingdao/ZebrafishHeartRegeneration_project	paper_analysis_code_candidate	S0096	10.1038/s41467-025-59070-0	An organ-wide spatiotemporal transcriptomic and cellular atlas of the regenerating zebrafish heart.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs	All scripts for project: zebrafish heart regeneneration	01. scRNA clustering/01.sc_QC.r | 01. scRNA clustering/02.sc_regeneration.r | 01. scRNA clustering/03.sc_chamber.r | 02. Stereo-seq clustering/01.cluster.R | 03. 3D alignment and clustering/RCTD the other slices/01.getOther.py | 03. 3D alignment and clustering/RCTD the other slices/02.buildRef.R | 03. 3D alignment and clustering/RCTD the other slices/03.RCTD.R | 03. 3D alignment and clustering/scVI integration and seurat clustering/03.cluster_scVI.R | 04. RCTD analysis/02.RCTD.R | 06. RNA velocity analysis/03.velocity.py | 07. CellChat analysis/01.CellChat2_scRNA.R | 07. CellChat analysis/02.CellChat2_Stereoseq.R | 08. Gene imputation/3D data/A_Seurat_impute.R | 08. Gene imputation/3D data/BA_Seurat_impute.R | 08. Gene imputation/3D data/V_Seurat_impute.R | 08. Gene imputation/Regeneration data/01.Seurat_impute.R | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/A_RCTD/01.split.py | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/A_RCTD/A_RCTD.R | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/BA_RCTD/01.split.py | 09. Merge to high-res atlas/01. RCTD_by_region/02.RCTD/BA_RCTD/02.BA_RCTD.R
lcy1364/Cortex-Atlas-Code	https://github.com/lcy1364/Cortex-Atlas-Code	paper_analysis_code_candidate	S0097	10.1038/s41467-025-62793-9	Charting the spatial transcriptome of the human cerebral cortex at single-cell resolution.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Cortex-Atlas-Code	src/STEREO/1_cellbin/1_gemToH5ad.py | src/STEREO/1_cellbin/2_h5adToRDS.R | src/STEREO/1_cellbin/read_io.py | src/STEREO/2_Deconvolution_and_QC/1_Initial_deconvolution.R | src/STEREO/2_Deconvolution_and_QC/2_second_subclass_deconvolution.R | src/STEREO/2_Deconvolution_and_QC/3_RCTD_resumeMICROandOPC.R | src/STEREO/2_Deconvolution_and_QC/4_spatialCellMeta.R | src/STEREO/3_domainProcess/2_generatingData.R | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFC_stLearn.py | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFCs_SEDR.py | src/STEREO/3_domainProcess/DeepST-main/Benchmark/run_DLPFCs_SpaGCN.py | src/STEREO/3_domainProcess/DeepST-main/deepst/DeepST.py | src/STEREO/3_domainProcess/DeepST-main/deepst/_compat.py | src/STEREO/3_domainProcess/DeepST-main/deepst/adj.py | src/STEREO/3_domainProcess/DeepST-main/deepst/augment.py | src/STEREO/3_domainProcess/DeepST-main/deepst/his_feat.py | src/STEREO/3_domainProcess/DeepST-main/deepst/model.py | src/STEREO/3_domainProcess/DeepST-main/deepst/trainer.py | src/STEREO/3_domainProcess/DeepST-main/deepst/utils_func.py | src/STEREO/3_domainProcess/DeepST_run.py
y-bai/SpaSEG	https://github.com/y-bai/SpaSEG	paper_analysis_code_candidate	S0456	10.1186/s13059-025-03697-1	SpaSEG: unsupervised deep learning for multi-task analysis of spatially resolved transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	An unsupervised convolutional neural network-based model for multiple SRT analysis tasks, including spatial domain identification, multiple adjacent sections integration, SVG detection, and spatial CCI inference.	data_processing/scanpy_processing.py | downstream/cci/__init__.py | downstream/cci/cci.py | downstream/plotting/__init__.py | downstream/plotting/_heatmapplot.py | downstream/plotting/_svgplot.py | downstream/plotting/_utils.py | downstream/plotting/_venn.py | notebook/CCI/CCI_colocalization_IDC.ipynb | notebook/CCI/CCI_colocalization_MB.ipynb | notebook/CCI/IDC_LR_counts_heatmap.ipynb | notebook/CCI/IDC_dotplot_LR_celltype.ipynb | notebook/CCI/MB_cellChat.ipynb | notebook/CCI/Mouse_brain_bin200_LR_CT_corr_heatmap.ipynb | notebook/CCI/Mouse_brain_bin200_LR_counts_heatmap.ipynb | notebook/CCI/Mouse_brain_dotplot_LR_celltype.ipynb | notebook/CCI/cci_analysis_notebook.ipynb | notebook/MultiPlatform/Mouse_Brain_marker_gene.ipynb | notebook/MultiPlatform/cellbin_cluster.ipynb | notebook/MultiPlatform/merfish_celltype_annotation.ipynb
PYangLab/SVGbench	https://github.com/PYangLab/SVGbench	paper_analysis_code_candidate	S0448	10.1186/s13059-023-03145-y	Evaluating spatially variable gene detection methods for spatial transcriptomics data.	stereo-seq-publication-plotting;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Evaluating spatially variable gene detection methods for spatial transcriptomics data	02_run methods/run_spatialde/callSVG_spatialDE.py | 02_run methods/run_spatialde/mosta_spatialDE.py | 02_run methods/run_spatialde/simulations_spatialDE.py | 02_run methods/run_spatialde/subsample_genes_spatialde.py | 02_run methods/run_spatialde/subsample_spots_spatialde.py | 03_SVG detection/plot_p_value_proportions.R | 03_SVG detection/plot_pairwise_spearmans.R | 03_SVG detection/plot_prop_overlapping_sigSVGs.R | 04_gene interdependency/plot_gene_sampling_spearmans.R | 04_gene interdependency/plot_gene_stats_expr_correlation.R | 05_robustness to sparsity/plot_prop_of_overlap_and_unique_SVGs.R | 05_robustness to sparsity/plot_spot_sampling_spearmans.R | 06_downstream clustering/perform_SINFONIA_clustering.py | 06_downstream clustering/perform_bayesspace_clustering.R | 06_downstream clustering/perform_kmeans_hc_clustering.R | 06_downstream clustering/perform_spaGCN_clustering.py | 06_downstream clustering/plot_E9.5_celltype_proportions.R | 06_downstream clustering/plot_clustering_concordance.R | 07_simulations/plot_prop_groundtruth_sigSVGs.R | 08_computational resource/plot_memory.R
axelalmet/flowsig	https://github.com/axelalmet/flowsig	paper_analysis_code_candidate	S0392	10.1038/s41592-024-02380-w	Inferring pattern-driving intercellular flows from single-cell and spatial transcriptomics.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Python package to find communication-driven intercellular flows from single-cell RNA-sequencing and spatial transcriptomics data.	build/lib/flowsig/plotting/__init__.py | build/lib/flowsig/plotting/_plotting.py | build/lib/flowsig/preprocessing/_spatial_blocking.py | build/lib/flowsig/tools/_spatial.py | src/flowsig/plotting/__init__.py | src/flowsig/plotting/_plotting.py | src/flowsig/preprocessing/_spatial_blocking.py | src/flowsig/tools/_spatial.py | src/flowsig/tutorials/.ipynb_checkpoints/mouse_embryo_stereoseq_example-checkpoint.ipynb | src/flowsig/tutorials/.ipynb_checkpoints/mouse_embryo_stereoseq_example_script-checkpoint.py | src/flowsig/tutorials/mouse_embryo_stereoseq_example.ipynb | src/flowsig/tutorials/mouse_embryo_stereoseq_example_script.py
ReproductiveEndocrinologyMetabolism/Endo.R	https://github.com/ReproductiveEndocrinologyMetabolism/Endo.R	paper_analysis_code_candidate	S0113	10.1038/s41591-025-03592-z	Single-cell profiling of the human endometrium in polycystic ovary syndrome.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Author: Gustaw Eriksson	Spatial RNA-seq analysis/00.1_Stereopy_binning.py | Spatial RNA-seq analysis/00.2_Seurat_preprocessing.R | Spatial RNA-seq analysis/01_UMAP_Label_Transfer.R | Spatial RNA-seq analysis/02_Annotation_filtering.R | Spatial RNA-seq analysis/03_Subclustering.R | Spatial RNA-seq analysis/04.1_Marker_Visualisation_Full_Slide.R | Spatial RNA-seq analysis/04.2_Marker_Visualisation_Targeted_Region.R | Spatial RNA-seq analysis/Create_directory.sh | snRNA-sequencing analysis/02_Main_Clustering.R | snRNA-sequencing analysis/03_Main_Cluster_Labelling.R | snRNA-sequencing analysis/04_Subsetting_Main_Clusters.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Endothelial_Lymphatic.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Epithelium.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Immune.R | snRNA-sequencing analysis/05_Subclustering_Annotation_Stroma.R | snRNA-sequencing analysis/07.1_GO_GSEA_analysis.R | snRNA-sequencing analysis/07.2_GO_GSEA_visualisation.R | snRNA-sequencing analysis/08.1_Generate_Average_Seurat.R | snRNA-sequencing analysis/08.2_Plot_Heatmaps_DEG_GO.R | snRNA-sequencing analysis/08.3_Plot_Violinplots.R
ckmah/bento-tools	https://github.com/ckmah/bento‐tools	paper_analysis_code_candidate	S0351	10.1002/smtd.202400975	UCS: A Unified Approach to Cell Segmentation for Subcellular Spatial Transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	A Python toolkit for subcellular analysis of spatial transcriptomics data	bento/plotting/__init__.py | bento/plotting/_colors.py | bento/plotting/_layers.py | bento/plotting/_lp.py | bento/plotting/_multidimensional.py | bento/plotting/_plotting.py | bento/plotting/_signatures.py | bento/plotting/_utils.py | docs/source/tutorial_gallery/Spatial_Features.ipynb | docs/source/tutorial_gallery/Spatial_Plotting.ipynb | tests/test_plotting.py
STOmics/Spatialign	https://github.com/STOmics/Spatialign ; https://github.com/STOmics/Spatialign.gitâ€�	paper_analysis_code_candidate	S0131;S0466	10.1093/gigascience/giae042;10.46471/gigabyte.108	spatiAlign: an unsupervised contrastive learning model for data integration of spatially resolved transcriptomics.; BatchEval Pipeline: batch effect evaluation workflow for multiple datasets joint analysis.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Spatially Resolved Transcriptomics Integration Algorithm	produce_figures/figure2.ipynb | produce_figures/figure3.ipynb | produce_figures/figure4.ipynb | produce_figures/figure5.ipynb | produce_figures/supp2-3-4-1.ipynb | produce_figures/supp2-3-4-2.ipynb | produce_figures/supp5.ipynb | produce_figures/supp7-8.ipynb | spatialign/__init__.py | spatialign/module/__init__.py | spatialign/module/dgi.py | spatialign/module/domain_specific_batch_norm.py | spatialign/module/embed_layer.py | spatialign/module/embed_model.py | spatialign/module/graph_vae.py | spatialign/module/losses.py | spatialign/module/residual_bottleneck.py | spatialign/spatialign/__init__.py | spatialign/spatialign/model.py | spatialign/spatialign/trainer.py
lskfs/ascidian-endostyle	https://github.com/lskfs/ascidian-endostyle	paper_analysis_code_candidate	S0149	10.1126/sciadv.adi9035	Spatially resolved single-cell atlas of ascidian endostyle provides insight into the origin of vertebrate pharyngeal organs.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Source code for ascidian endostyle manuscript	01.stereo-seq_cellseg/cellsegment.py | 01.stereo-seq_cellseg/centroid.py | 01.stereo-seq_cellseg/gem_mask.py | 01.stereo-seq_cellseg/mix_segmentation.py | 02.stereo-seq_clustering/Stereo_seurat.cellbin.R | 02.stereo-seq_clustering/seurat_integrate.R | 03.single_cell_clustering/integration.singlecell.SCT.R | 03.single_cell_clustering/single-cell-seurat-MT-211101.R | 07.RNA_velocity/dynamo_pipe.single.py | 07.RNA_velocity/pre-velocyto.py | 10.cross-species_comparison/sankeyPlot.R | 11.trajectory_projection/classify_trajectory_genes.py | 11.trajectory_projection/extract_TLC_exp.py | 11.trajectory_projection/monocle2.R | 11.trajectory_projection/region_divide_pt.py | 11.trajectory_projection/trajectory_mapping.py | 12.HLR_Blood_single_cell_trajectory/01.downsampling.sh | 12.HLR_Blood_single_cell_trajectory/01.seeksoultools.sh | 12.HLR_Blood_single_cell_trajectory/02.single-cell-seurat.R | 12.HLR_Blood_single_cell_trajectory/02.work-Seurat.sh
GuangyuWangLab2021/Thor	https://github.com/GuangyuWangLab2021/Thor	paper_analysis_code_candidate	S0382	10.1038/s41467-025-62593-1	Thor: a platform for cell-level investigation of spatial transcriptomics and histology.	stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Cell level integrated analysis of tissue histology and spatial transcriptomics	notebooks/tutorial_run_cell_communication_commot.ipynb | src/thor/analysis/R/dend_plot.R | src/thor/analysis/deg.py | src/thor/plotting/__init__.py | src/thor/plotting/_utils.py | src/thor/plotting/annot.py | src/thor/plotting/assess.py | src/thor/plotting/boundary.py | src/thor/plotting/colors.py | src/thor/plotting/deg.py | src/thor/plotting/fill.py | src/thor/plotting/graph.py | src/thor/plotting/spot.py | src/thor/plotting/spot_overlap.py | src/thor/plotting/spot_pie.py
